Pedro García Saavedra,"15,081",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Rómulo Guerra Ayala,"21,383",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Gloria Gilda Helfer Palacios,"164,740",30-Dic-1992,26-Jul-1995,Movimiento Democrático de Izquierda,MOVIMIENTO DEMOCRÁTICO DE IZQUIERDA,,en Ejercicio,CCD 1992 -1995
Juan Bosco Hermoza Ríos,"28,958",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Juan Huamanchumo Romero,0,30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Víctor Dionicio Joy Way Rojas,"64,637",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Alexander Martín Kouri Bumachar,"35,918",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Manuel Antonio La Torre Bardales,"29,557",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
César Larrabure Gálvez,"14,866",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Carlos Hernán León Trelles,"16,899",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Maria Del Carmen Lozada Rendón De Gamboa,"21,708",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Ricardo Arturo Marcenaro Frers,"11,650",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Samuel Matsuda Nishimura,"17,138",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Víctor Meléndez Campos,"12,515",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Manuel Moreyra Loredo,"43,551",30-Dic-1992,26-Jul-1995,Solidaridad y Democracia,SOLIDARIDAD Y DEMOCRACIA,,en Ejercicio,CCD 1992 -1995
Jorge Nakamura Hinostroza,"24,004",30-Dic-2017,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Mario Ocharan Zegarra,"11,729",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Fernando Olivera Vega,"250,919",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Gonzalo Ortiz De Zevallos Roédel,"44,429",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Miguel Angel Pajares Ruíz,"20,979",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Mario Paredes Cueva,"22,326",30-Dic-1992,26-Jul-1995,Frente Popular Agrícola del Perú,FREPAP,,en Ejercicio,CCD 1992 -1995
Demetrio Patsías Mella,"23,907",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Henry Gustavo Pease García,"76,557",30-Dic-1992,26-Jul-1995,Movimiento Democrático de Izquierda,MOVIMIENTO DEMOCRÁTICO DE IZQUIERDA,,en Ejercicio,CCD 1992 -1995
Carlos E. Reátegui Trigoso,"12,376",30-Dic-0092,26-Jul-0095,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Andrés Reggiardo Sayán,"62,274",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Rafael Rey Rey,"264,869",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Reynaldo Roberts Billing,"30,538",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Luz Filomena Salgado Rubianes,"582,879",30-Dic-1992,26-Feb-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Humberto Sambucetti Pedraglio,"8,711",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Oswaldo Sandoval Aguirre,"19,016",30-Dic-1992,26-Feb-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Willy Serrato Puse,"8,607",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Gilberto Siura Céspedes,"33,393",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Celso Sotomarino Chávez,"17,683",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Pablo Ernesto Tello Tello,"18,853",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Luis Enrique Tord Romero,"21,013",30-Dic-1992,26-Jul-1995,Convergencia Democrática,COORDINADORA DEMOCRÁTICA,,en Ejercicio,CCD 1992 -1995
Jorge Torres Vallejo,"20,417",30-Dic-1992,26-Jul-1995,Convergencia Democrática,COORDINADORA DEMOCRÁTICA,,en Ejercicio,CCD 1992 -1995
Carlos Torres y Torres Lara,"96,526",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Francisco Antonio Gregorio Tudela Van Breugel-Douglas,"10,392",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Anastacio Vega Ascencio,"31,035",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Jorge Benito Velásquez Gonzales,"9,417",30-Dic-1992,26-Jul-1995,FRENATRACA,FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS,,en Ejercicio,CCD 1992 -1995
Jorge Alfonso Velásquez Ureta,"21,003",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Miguel Velit Núñez,"44,334",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Eusebio Vicuña Vásquez,"18,142",30-Dic-1992,26-Jul-1995,Frente Popular Agrícola del Perú,FREPAP,,en Ejercicio,CCD 1992 -1995
Pedro David Vilchez Malpica,"17,041",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Nicolasa Villar De Posadas,"15,948",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
María Teresa Vitor Alfaro,"16,586",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Jaime Yoshiyama Tanaka,"1'631,075",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Guillermo Ysisola Farfán,"11,613",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Juan Hugo Zamata Aguirre,"19,268",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Daniel Oscar Zevallos Ríos,"21,002",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Alejandro Ruperto Abanto Pongo,"7,698",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,Suspendido,Parlamentario 1995 - 2000
Segundo Vito Aliaga Araujo,"10,377",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Javier Alva Orlandini,"7,778",27-Jul-1995,26-Jul-2000,Acción Popular,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
Adolfo Luis Amorín Bueno,"35,944",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Roger Amuruz Gallegos,"7,349",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Jorge Avendaño Valdez,"15,656",27-Jul-1995,26-Jul-2000,Independiente,GRUPO PARLAMENTARIO INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Alfonso Baella Tuesta,"12,701",27-Jul-1995,26-Jul-2000,Independiente,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
José Barba Caballero,"16,216",27-Jul-1995,26-Jul-2000,Convergencia Democrática,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
Carlos Barbarán Rengifo,"8,034",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Xavier Rodolfo Barrón Cebreros,"12,566",27-Jul-1995,26-Jul-2000,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO-RENOVACIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Angel Miguel Bartra Gonzales,"5,991",27-Jul-1995,26-Jul-2000,Independiente,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Carlos Miguel Blanco Oropeza,"11,261",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Rolando Breña Pantoja,"5,861",27-Jul-1995,26-Jul-0002,Izquierda Unida,DEMOCRACIA EN ACCIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Roger Cáceres Velásquez,"7,577",27-Jul-1995,26-Jul-2000,Perú al 2000-Frente Nacional de Trabajadores y Cam,DEMOCRACIA EN ACCIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Luis Ezequiel Campos Baca,"8,435",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Juan Francisco Cardoso Romero,"13,861",27-Jul-1995,26-Jul-2000,Independiente,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Arturo Castillo Chirinos,"28,111",27-Jul-1995,26-Jul-2000,Acción Popular,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
María Ofelia Cerro Moral,"9,488",27-Jul-1995,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Luis Eduardo Chang Ching,"12,001",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Martha Gladys Chávez Cossío,"488,606",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Jubert Chávez Serrano,"14,859",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Carlos Julio Chipoco Cáceda,"6,473",27-Jul-1995,26-Jul-2000,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO-RENOVACIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Enrique Chirinos Soto,"12,149",27-Jul-1995,26-Jul-2000,Renovación,PARTIDO POPULAR CRISTIANO-RENOVACIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Gamaniel Chiroque Ramírez,"10,614",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Luis Alberto Chú Rubio,"6,866",27-Jul-1995,26-Jul-2000,Frente Independiente Moralizador,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
